薬局名,クローバー薬局　本店
集計期間開始日,2025/12/01
集計期間終了日,2026/02/28
集計開始時刻,
集計終了時刻,
時刻通し集計,0
出力順,医薬品名(昇順)
検索キー,
医療情報,
No,ID,処方薬種別,剤型,医薬品名,単位,麻薬,毒薬,ハイリスク,後発,使用回数,使用量,薬価,使用金額,レセコード,YJコード,後発区分,向精神薬,覚せい剤,劇薬,抗がん剤,制吐剤,RMP,選定療養
34,1007,0,内用,アジルバ錠２０ｍｇ,錠,False,False,False,False,17,"1,108.0",76.3,84540,622143501,2149048F1022,2:先発品(後発あり),False,False,False,False,False,False,True
35,1304,0,内用,アジレクト錠１ｍｇ,錠,False,False,False,False,3,196.0,945.0,185220,622624401,1169017F2021,1:先発品(後発なし),False,False,True,False,False,True,False
36,1215,0,外用,アズノールうがい液４％,mL,False,False,False,True,12,105.0,24.3,2552,660463002,2260700F1021,3:後発品,False,False,False,False,False,False,False
37,428,0,外用,アズノール軟膏０．０３３％,g,False,False,False,False,290,"9,345.0",8.03,75040,620002619,2649716M1042,基:基礎的医薬品,False,False,False,False,False,False,False
38,266,0,内用,アスパラーＣＡ錠２００,錠,False,False,False,False,3,"1,218.0",5.9,7186,613210001,3214001F1020,1:先発品(後発なし),False,False,False,False,False,False,False
39,523,0,内用,アスパラカリウム錠３００ｍｇ,錠,False,False,False,False,9,976.0,6.1,5954,620004902,3229005F1080,1:先発品(後発なし),False,False,False,False,False,False,False
40,194,0,内用,アスペノンカプセル　２０ｍｇ,カプセル,False,False,True,False,9,410.0,30.1,12341,612120233,2129004M2022,2:先発品(後発あり),False,False,True,False,False,False,True
41,414,0,内用,アスベリン散１０％,g,False,False,False,False,20,58.9,17.4,1025,620002500,2249003B1037,基:基礎的医薬品,False,False,False,False,False,False,False
42,435,0,内用,アスベリン錠１０　１０ｍｇ,錠,False,False,False,False,3,56.0,13.1,734,620003073,2249003F1039,基:基礎的医薬品,False,False,False,False,False,False,False
43,415,0,内用,アスベリンシロップ０．５％,mL,False,False,False,False,6,150.5,2.55,384,620002502,2249003Q1048,基:基礎的医薬品,False,False,False,False,False,False,False
44,1568,0,内用,アセトアミノフェン錠２００ｍｇ「マルイシ」,錠,False,False,False,True,300,"6,545.0",6.1,39925,622556801,1141007F1195,3:後発品,False,False,False,False,False,False,False
45,1570,0,内用,アセトアミノフェン錠３００ｍｇ「マルイシ」,錠,False,False,False,True,79,"4,193.0",6.1,25577,622556901,1141007F2051,3:後発品,False,False,False,False,False,False,False
46,1569,0,内用,アセトアミノフェン錠５００ｍｇ「マルイシ」,錠,False,False,False,True,61,870.0,11.3,9831,622649001,1141007F3031,3:後発品,False,False,True,False,False,False,False
47,1032,0,内用,アゼルニジピン錠１６ｍｇ「日医工」,錠,False,False,False,True,10,637.0,11.4,7262,622230501,2149043F2131,3:後発品,False,False,False,False,False,False,False
48,1974,0,内用,アゼルニジピン錠８ｍｇ「日医工」,錠,False,False,False,True,5,433.0,10.4,4503,622230401,2149043F1135,3:後発品,False,False,False,False,False,False,False
49,1919,0,内用,アゾセミド錠３０ｍｇ「ＤＳＥＰ」,錠,False,False,False,True,24,"1,752.0",10.4,18221,622879701,2139008F2052,3:後発品,False,False,False,False,False,False,False
50,23,0,内用,アダラートＣＲ錠１０ｍｇ,錠,False,False,False,False,2,273.0,7.2,1966,610421320,2171014G3022,2:先発品(後発あり),False,False,True,False,False,False,False
51,24,0,内用,アダラートＣＲ錠２０ｍｇ,錠,False,False,False,False,24,"1,606.0",13.2,21199,610421321,2171014G4029,2:先発品(後発あり),False,False,True,False,False,False,True
52,25,0,内用,アダラートＣＲ錠４０ｍｇ,錠,False,False,False,False,12,725.0,23.8,17255,610421322,2171014G5025,2:先発品(後発あり),False,False,True,False,False,False,True
53,732,0,内用,アテノロール錠２５ｍｇ「トーワ」,錠,False,False,True,True,19,"2,032.0",6.1,12395,620254406,2123011F1325,3:後発品,False,False,False,False,False,False,False
54,460,0,内用,アデホスコーワ顆粒１０％,g,False,False,False,False,7,915.0,15.5,14183,620003503,3992001D1059,1:先発品(後発なし),False,False,False,False,False,False,False
55,9,0,内用,アテレック錠１０　１０ｍｇ,錠,False,False,False,False,1,56.0,23.7,1327,610407148,2149037F2039,2:先発品(後発あり),False,False,False,False,False,False,True
56,864,0,外用,アドエア１００ディスカス６０吸入用　６０ブリスター,キット,False,False,False,False,3,4.0,"3,111.1",12444,621829501,2290800G4031,1:先発品(後発なし),False,False,False,False,False,False,False
57,865,0,外用,アドエア２５０ディスカス６０吸入用　６０ブリスター,キット,False,False,False,False,8,15.0,"3,625.3",54380,621829601,2290800G5038,1:先発品(後発なし),False,False,False,False,False,False,False
58,416,0,内用,アドナ錠３０ｍｇ,錠,False,False,False,False,7,180.0,7.7,1386,620002506,3321002F2366,　:準先発品,False,False,False,False,False,False,False
59,581,0,外用,アドフィードパップ４０ｍｇ　１０ｃｍ×１４ｃｍ,枚,False,False,False,False,5,217.0,17.6,3819,620006366,2649732S1130,2:先発品(後発あり),False,False,False,False,False,False,False
60,1680,0,内用,アトルバスタチン錠１０ｍｇ「トーワ」,錠,False,False,False,True,223,"15,860.0",13.9,220454,622110501,2189015F2070,3:後発品,False,False,False,False,False,False,False
61,1679,0,内用,アトルバスタチン錠５ｍｇ「トーワ」,錠,False,False,False,True,185,"10,690.0",10.4,111176,622110401,2189015F1074,3:後発品,False,False,False,False,False,False,False
62,1448,0,内用,アナストロゾール錠１ｍｇ「ＮＫ」,錠,False,False,True,True,12,"1,075.0",58.5,62888,622208701,4291010F1090,3:後発品,False,False,True,True,False,False,False
63,1162,0,外用,アニュイティ１００μｇエリプタ３０吸入用,キット,False,False,False,False,1,2.0,"1,301.2",2602,622552201,2290705G1029,1:先発品(後発なし),False,False,False,False,False,False,False
64,1106,0,外用,アノーロエリプタ３０吸入用,キット,False,False,False,False,1,3.0,"5,445.1",16335,622426401,2259806G2028,1:先発品(後発なし),False,False,False,False,False,False,False
65,1608,0,外用,アポハイドローション２０％,g,False,False,False,False,3,30.24,543.7,16441,622930601,1259702Q1026,1:先発品(後発なし),False,False,False,False,False,False,False
66,912,0,内用,アマリール０．５ｍｇ錠,錠,False,False,True,False,1,98.0,10.4,1019,621982701,3961008F3023,2:先発品(後発あり),False,False,True,False,False,False,True
67,46,0,内用,アマリール１ｍｇ錠,錠,False,False,True,False,5,483.0,10.4,5023,610443002,3961008F1020,☆:先発品(同額以下),False,False,True,False,False,False,False
68,1907,0,内用,アマルエット配合錠２番「ニプロ」,錠,False,False,False,True,1,91.0,18.8,1711,622467901,2190102F1122,3:後発品,False,False,True,False,False,False,False
69,1841,0,内用,アマルエット配合錠４番「ニプロ」,錠,False,False,False,True,3,205.0,20.4,4182,622468101,2190104F1121,3:後発品,False,False,True,False,False,False,False
70,1952,0,内用,アマンタジン塩酸塩錠５０ｍｇ「杏林」,錠,False,False,False,True,1,168.0,6.1,1025,620117114,1161001F1140,3:後発品,False,False,False,False,False,False,False
71,2040,0,内用,アミオダロン塩酸塩錠１００ｍｇ「サワイ」,錠,False,True,True,True,1,182.0,72.0,13104,620003885,2129010F1030,3:後発品,False,False,False,False,False,False,False
72,1423,0,内用,アミティーザカプセル１２μｇ,カプセル,False,False,False,False,37,"4,182.0",48.2,201572,622653501,2359006M2021,1:先発品(後発なし),False,False,False,False,False,False,False
73,1018,0,内用,アミティーザカプセル２４μｇ,カプセル,False,False,False,False,32,"2,023.0",96.9,196029,622182901,2359006M1025,1:先発品(後発なし),False,False,False,False,False,False,False
74,805,0,内用,アミノレバンＥＮ配合散,g,False,False,False,False,1,"4,550.0",8.88,40404,620754701,3259108B1039,基:基礎的医薬品,False,False,False,False,False,False,False
75,1619,0,内用,アムバロ配合錠「サンド」,錠,False,False,False,True,17,"1,112.0",15.2,16902,622460101,2149114F1188,3:後発品,False,False,True,False,False,False,False
76,888,0,内用,アムロジピンＯＤ錠２．５ｍｇ「ＮＳ」,錠,False,False,False,True,1,56.0,10.4,582,621937301,2171022F3080,3:後発品,False,False,True,False,False,False,False
77,1676,0,内用,アムロジピン錠２．５ｍｇ「杏林」,錠,False,False,False,True,420,"26,939.0",10.4,280166,621853103,2171022F1444,3:後発品,False,False,True,False,False,False,False
